target,modelo,mae,rmse,r2
PM2_5_next_hour,rf,3.0657193649458896,4.913327924207535,0.6955761806722373
PM2_5_next_hour,gbr,3.0661868714719485,4.731662763631936,0.7176715155797413
PM2_5_next_hour,xgb,3.109313073649966,4.875277382325078,0.7002730534017878
PM2_5_next_hour,stack,3.2672940357351337,5.286043617616041,0.6476383672400323
PM10_next_hour,rf,4.751729520372161,9.587691816866645,0.666687543404727
PM10_next_hour,gbr,9.256364514654159,12.34468092855336,0.4474352817079237
PM10_next_hour,xgb,7.373357419533124,10.802308512666759,0.5768868082131968
PM10_next_hour,stack,5.448106203740079,10.402781996142439,0.6076059552049278
SO2_next_hour,rf,222.40513645026826,337.1032861673421,-9.20205048310429
SO2_next_hour,gbr,354.8439321602288,556.1022932563758,-26.763286066212313
SO2_next_hour,xgb,191.92747284188258,305.0889809109095,-7.356309951289843
SO2_next_hour,stack,592.590972810037,797.2244104142236,-56.05880501046603
NO2_next_hour,rf,3.2766466536265897,4.807498771219274,0.9642181482095893
NO2_next_hour,gbr,3.1095509495960716,4.307328709820947,0.9712762935074455
NO2_next_hour,xgb,3.1488310902181573,4.355383014818699,0.9706318117756941
NO2_next_hour,stack,2.610474529836526,4.28403357985063,0.9715861435925451
O3_next_hour,rf,2.0713978235415005,3.1521875863146054,0.6692603608573567
O3_next_hour,gbr,1.2554736800020292,2.2951509900155953,0.8246585222087417
O3_next_hour,xgb,2.593774267192081,3.9281677669510175,0.48637968276289334
O3_next_hour,stack,1.8407684455177669,3.0328714778485892,0.6938246992200423
CO_next_hour,rf,160.3171867750865,255.83880685417753,0.9480992181317726
CO_next_hour,gbr,144.21293639030517,249.47651990052066,0.950648493691395
CO_next_hour,xgb,166.23283536649149,271.2893436807599,0.941641176481248
CO_next_hour,stack,136.90924214737626,232.6382481473325,0.9570855751893085
